2017-03-04 17:49:34.665 INFO  DefaultFactory Logging to 'C:\Alterax\NServiceBus\SchrodersPubSubExample\ClientExampleWithAbstraction\bin\Debug\net461\win7-x64\' with level Info
2017-03-04 17:49:40.960 INFO  NServiceBus.LicenseManager License expires on 03/02/18 00:00:00
2017-03-04 17:49:41.001 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-USRB3A3\jcoxhead' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-USRB3A3\jcoxhead" /add
2017-03-04 17:49:41.058 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-04 17:49:41.062 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-04 17:49:41.064 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-04 17:49:50.631 INFO  ClientExampleWithAbstraction.Program Press 'P' to place an order, or 'Q' to quit.
2017-03-04 17:49:56.515 INFO  ClientExampleWithAbstraction.Program Press 'P' to place an order, or 'Q' to quit.
2017-03-04 17:50:28.653 INFO  ClientExampleWithAbstraction.Program Press 'P' to place an order, or 'Q' to quit.
2017-03-04 17:50:54.051 INFO  ClientExampleWithAbstraction.Program Press 'P' to place an order, or 'Q' to quit.
2017-03-04 18:02:23.168 INFO  DefaultFactory Logging to 'C:\Alterax\NServiceBus\SchrodersPubSubExample\ClientExampleWithAbstraction\bin\Debug\net461\win7-x64\' with level Info
2017-03-04 18:02:29.895 INFO  NServiceBus.LicenseManager License expires on 03/02/18 00:00:00
2017-03-04 18:02:29.925 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-USRB3A3\jcoxhead' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-USRB3A3\jcoxhead" /add
2017-03-04 18:02:30.018 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-04 18:02:30.022 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-04 18:02:30.023 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-04 18:02:30.090 INFO  NServiceBus.LicenseManager License expires on 03/02/18 00:00:00
2017-03-04 18:02:30.095 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-USRB3A3\jcoxhead' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-USRB3A3\jcoxhead" /add
