2017-03-05 12:49:09.674 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 12:49:09.677 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 12:49:09.695 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Events.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:49:09.710 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Events.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:49:09.726 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Events.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:49:09.752 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Events] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:49:13.286 INFO  ClientExampleWithAbstraction.Program Press 'P' to place an order, or 'Q' to quit.
2017-03-05 12:49:56.723 INFO  Schroders.Bus.Core.BusEvent Handling: order for bus Event
2017-03-05 12:49:57.850 INFO  Schroders.Bus.Core.BusEvent Handling: order for bus Event
2017-03-05 12:50:03.631 INFO  Schroders.Bus.Core.BusEvent Handling: order for bus Event
2017-03-05 12:50:34.167 INFO  ClientExampleWithAbstraction.Program Press 'P' to place an order, or 'Q' to quit.
2017-03-05 12:50:59.024 INFO  Schroders.Bus.Core.BusEvent Handling: order for bus Event
2017-03-05 13:26:50.062 INFO  DefaultFactory Logging to 'C:\Alterax\NServiceBus\SchrodersPubSubExample\ClientExampleWithAbstraction\bin\Debug\net461\win7-x64\' with level Info
2017-03-05 13:26:56.826 INFO  NServiceBus.LicenseManager License expires on 03/02/18 00:00:00
