2017-03-05 12:49:09.669 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 12:49:09.687 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Commands.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:49:09.701 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Commands.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:49:09.721 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Commands.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:49:09.734 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Commands] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:49:13.286 INFO  NServiceBus.LicenseManager License expires on 03/02/18 00:00:00
2017-03-05 12:49:13.297 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-USRB3A3\jcoxhead' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-USRB3A3\jcoxhead" /add
2017-03-05 12:49:13.595 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.PublisherFailedMessages] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:49:13.601 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 12:49:13.604 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 12:49:13.606 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 12:49:13.616 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Publisher.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:49:13.622 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Publisher.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:49:13.629 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Publisher.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:49:13.634 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Publisher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 12:49:14.378 INFO  NServiceBus.SubscriptionReceiverBehavior Subscribe from ProductMaster.FundShareClass.Events@DESKTOP-USRB3A3 on message type Schroders.Bus.Core.BusEvent, Schroders.Bus.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
